method,condition,acc4,acc_het
raw,val_C100,0.99,0.99
raw,val_C25,0.96,0.96
raw,val_N8,0.88,0.88
raw,val_T15,0.25,0.5
raw,val_T25,0.5,0.5
raw,val_T80,0.64,0.64
raw,val_base,0.975,0.975
raw,val_strongNL,0.985,0.99
ours,val_C100,1.0,1.0
ours,val_C25,0.985,0.985
ours,val_N8,1.0,1.0
ours,val_T15,0.72,0.75
ours,val_T25,0.95,0.95
ours,val_T80,1.0,1.0
ours,val_base,1.0,1.0
ours,val_strongNL,0.99,0.995
dlw,val_C100,1.0,1.0
dlw,val_C25,0.98,0.98
dlw,val_N8,0.995,0.995
dlw,val_T15,0.485,0.505
dlw,val_T25,0.9,0.9
dlw,val_T80,1.0,1.0
dlw,val_base,1.0,1.0
dlw,val_strongNL,0.99,0.995
reml,val_C100,1.0,1.0
reml,val_C25,0.985,0.985
reml,val_N8,0.995,0.995
reml,val_T15,0.48,0.5
reml,val_T25,0.81,0.81
reml,val_T80,1.0,1.0
reml,val_base,1.0,1.0
reml,val_strongNL,0.995,1.0
