T_c,pert_scale,rep,win,cv_margin
15,0.05,0,1,-0.1081388201704408
15,0.05,1,0,-0.33926166383514383
15,0.05,2,0,-0.23760797994664737
15,0.05,3,0,-0.3397824724599487
15,0.05,4,0,-0.14695950565532617
15,0.05,5,0,-0.3746564824803581
15,0.05,6,0,-0.20571708752434348
15,0.05,7,0,-0.198246545662365
15,0.25,0,0,-0.26119527593743536
15,0.25,1,0,-0.16642695276405486
15,0.25,2,0,-0.31443896742117716
15,0.25,3,0,-0.13457461222777567
15,0.25,4,0,-0.30627054934779874
15,0.25,5,0,-0.1378215292371224
15,0.25,6,0,-0.2686091894707323
15,0.25,7,0,-0.3369770574216464
15,1.0,0,0,-0.1672271623052592
15,1.0,1,1,-0.2185020559173813
15,1.0,2,1,-0.04150754814545877
15,1.0,3,0,-0.15435235614425427
15,1.0,4,1,-0.21973186306305706
15,1.0,5,0,-0.11808533523504991
15,1.0,6,1,-0.032868274737482085
15,1.0,7,1,-0.16785442499552763
25,0.05,0,0,-0.04509206627702793
25,0.05,1,0,-0.054236306336251344
25,0.05,2,1,-0.06857033954011058
25,0.05,3,1,-0.035105490925473645
25,0.05,4,0,-0.06886393617748297
25,0.05,5,0,-0.04720009731831692
25,0.05,6,1,-0.05147830607323476
25,0.05,7,0,-0.11384444199291636
25,0.25,0,0,-0.04486274602090498
25,0.25,1,0,-0.033054670836739776
25,0.25,2,1,-0.059853636094693456
25,0.25,3,1,-0.06242441969548383
25,0.25,4,0,-0.11726823131330752
25,0.25,5,0,-0.07782412203395858
25,0.25,6,0,-0.05534846490986899
25,0.25,7,0,-0.023357414219130533
25,1.0,0,1,0.009505314511570419
25,1.0,1,1,0.08284540183808019
25,1.0,2,1,0.10156298982162275
25,1.0,3,1,-0.004985852087606872
25,1.0,4,1,0.017617794476270886
25,1.0,5,1,0.12332924948656819
25,1.0,6,1,0.06970159530802937
25,1.0,7,1,0.03874175365546125
40,0.05,0,0,-0.02358411903203873
40,0.05,1,0,-0.015915485074669392
40,0.05,2,0,-0.024752141850662213
40,0.05,3,0,-0.033308039094121396
40,0.05,4,0,-0.01277297439312477
40,0.05,5,0,-0.016706275817790158
40,0.05,6,0,-0.02078294455209374
40,0.05,7,0,-0.04304715288561653
40,0.25,0,0,0.003767184090311133
40,0.25,1,0,-0.023482172854901506
40,0.25,2,0,-0.010851315983346552
40,0.25,3,0,-0.028865459357693055
40,0.25,4,0,-0.023987844049697317
40,0.25,5,0,-0.008833337643104216
40,0.25,6,0,-0.03134777635351142
40,0.25,7,0,-0.0042120699339575655
40,1.0,0,1,0.11995698497580641
40,1.0,1,1,0.16399428799938776
40,1.0,2,1,0.12894512290942386
40,1.0,3,1,0.07476828373456336
40,1.0,4,1,0.14605511338338373
40,1.0,5,1,0.10699874127704703
40,1.0,6,1,0.1107355063217905
40,1.0,7,1,0.20679918325224095
80,0.05,0,0,-0.0021904698055715244
80,0.05,1,0,-0.0024812140357695967
80,0.05,2,0,-0.0016454338722537898
80,0.05,3,0,0.0014871898912343796
80,0.05,4,0,-0.013520463402697516
80,0.05,5,0,-0.0032778035365390677
80,0.05,6,0,-0.0005200256134780545
80,0.05,7,1,-0.004158086689615175
80,0.25,0,0,0.00050882150692928
80,0.25,1,1,-0.008435283965991545
80,0.25,2,1,-0.00011620029133410981
80,0.25,3,0,-0.003683685357652564
80,0.25,4,0,-0.01095776895109239
80,0.25,5,0,-0.005140483192475074
80,0.25,6,0,-0.003970865224200537
80,0.25,7,1,0.004043040905833521
80,1.0,0,1,0.1439825908986455
80,1.0,1,1,0.16081884235364136
80,1.0,2,1,0.1750376237171814
80,1.0,3,1,0.20013603692784457
80,1.0,4,1,0.12248105547089835
80,1.0,5,1,0.1467376287486873
80,1.0,6,1,0.19620078527661747
80,1.0,7,1,0.12644611789783455
150,0.05,0,0,-0.0028896866460595447
150,0.05,1,0,-0.0021316718845887407
150,0.05,2,0,-0.006494602019364872
150,0.05,3,0,-0.003168720508949415
150,0.05,4,0,0.0014468070673824514
150,0.05,5,0,0.0011504452750893204
150,0.05,6,0,-0.0031162362535099722
150,0.05,7,0,-0.00040059849341150767
150,0.25,0,1,-0.0010504740925707666
150,0.25,1,1,0.008641681859766019
150,0.25,2,1,0.0018660375507912855
150,0.25,3,1,0.002418122962550418
150,0.25,4,0,0.001666266819513112
150,0.25,5,0,-0.0005340993597316507
150,0.25,6,0,0.003968859953003478
150,0.25,7,1,0.0021735912805970654
150,1.0,0,1,0.11832503392685521
150,1.0,1,1,0.2065782025264751
150,1.0,2,1,0.1525389800785324
150,1.0,3,1,0.15184783667910823
150,1.0,4,1,0.12698199846576458
150,1.0,5,1,0.14163839330951866
150,1.0,6,1,0.21892026561891068
150,1.0,7,1,0.1724414747769932
