arm,rep,block_T,n_units,mse_hn,mse_poolB,gap,win,delta_mag,tau2_learned,bv_nc,noise_floor,snr
mixed,0,25,10,0.7691633880138398,0.6951934516429901,0.07396993637084961,0.4,0.23382656946778296,0.8149504065513611,0.13137129963555258,0.2216286965099764,0.5927540147294916
mixed,0,40,10,0.8064265489578247,0.9387966454029083,-0.13237009644508363,0.5,0.2453926056623459,0.8149504065513611,0.14975956554621342,0.15822605520588995,0.9464911790371087
mixed,0,80,10,0.7315926283597947,0.7244495898485184,0.007143038511276245,0.5,0.1646346777677536,0.8149504065513611,0.12166416614935402,0.10546594553627064,1.1535872127322147
homog80,0,80,30,0.798274576663971,0.9009982953468959,-0.1027237186829249,0.6666666666666666,0.13861261519292992,0.7336205840110779,0.11676888964458235,0.1060403066343656,1.1011745755056108
homog40,0,40,30,0.7753282487392426,0.8401799519856771,-0.06485170324643454,0.6333333333333333,0.20355823040008544,0.8029749989509583,0.12801855004487478,0.16031241775125005,0.7985566672914616
homog25,0,25,30,0.7970644901196162,0.8655114829540252,-0.06844699283440908,0.6,0.24398248270154,0.8768068552017212,0.14237514073394367,0.22341407335654792,0.6372702426257915
mixed,1,25,10,0.8333167374134064,0.8024625420570374,0.03085419535636902,0.7,0.22341808229684829,0.8180345892906189,0.1331122383544914,0.22744106404999606,0.5852603570533362
mixed,1,40,10,0.847093465924263,0.903628197312355,-0.05653473138809204,0.8,0.16724393591284753,0.8180345892906189,0.15513787240378762,0.15372256141918508,1.0092069177844567
mixed,1,80,10,0.6250160813331604,0.8237308025360107,-0.19871472120285033,0.9,0.22642246559262275,0.8180345892906189,0.1494409217016311,0.10308592080947979,1.4496734425821658
homog80,1,80,30,0.6926967243353526,0.7894785900910696,-0.09678186575571696,0.7,0.175192166864872,0.7867727279663086,0.13872913433750497,0.10399813412880285,1.3339579166457678
homog40,1,40,30,0.7356699446837107,0.9274499853452046,-0.19178004066149393,0.7333333333333333,0.2211698775490125,0.8547452092170715,0.1593747094189102,0.15987547899670926,0.9968677524474571
homog25,1,25,30,0.6850711939235529,0.6896403533716996,-0.00456915944814682,0.36666666666666664,0.25226407771309217,0.8879483342170715,0.1563268370944809,0.21539073042781884,0.7257825663341103
mixed,2,25,10,0.8057882100343704,0.8682647675275803,-0.062476557493209836,0.4,0.2523564726114273,0.8338358998298645,0.15485707790945383,0.21046793266018882,0.7357751651387124
mixed,2,40,10,0.808971232175827,0.8380047440528869,-0.029033511877059937,0.5,0.17471774518489838,0.8338358998298645,0.15268269806644927,0.15932971978196572,0.9582813443429603
mixed,2,80,10,0.7500965505838394,0.8309407353401184,-0.080844184756279,0.8,0.1878153160214424,0.8338358998298645,0.16578764159339376,0.10197843410427669,1.6257127602476207
homog80,2,80,30,0.7009609619776408,0.7944216231505076,-0.09346066117286682,0.8333333333333334,0.17270142485698065,0.8242105841636658,0.1655980514821514,0.10042710090778126,1.6489378861410564
homog40,2,40,30,0.6998914937178294,0.8109528442223867,-0.11106135050455729,0.6,0.2214475524922212,0.8727642893791199,0.19933703889501264,0.1554161992234097,1.2826014269494972
homog25,2,25,30,0.7365140974521637,0.7277678777774175,0.008746219674746196,0.4666666666666667,0.29012482638160386,0.9348739981651306,0.17540535150601286,0.21449906824733747,0.8177441186073316
mixed,3,25,10,0.7303642600774765,0.7177227079868317,0.012641552090644836,0.6,0.21576815620064735,0.8048135042190552,0.14354503319294737,0.2231809805844341,0.643177715310025
mixed,3,40,10,0.7431978732347488,0.7998493790626526,-0.05665150582790375,1.0,0.1947539769113064,0.8048135042190552,0.12624784744096668,0.16226647476032524,0.7780279175192555
mixed,3,80,10,0.8452820241451263,0.989336121082306,-0.14405409693717958,0.7,0.17364216595888138,0.8048135042190552,0.11121612139907239,0.10888475865067097,1.0214112863663591
homog80,3,80,30,0.8020255972941717,0.9625115156173706,-0.16048591832319895,0.8333333333333334,0.12585683564345043,0.7212876677513123,0.09980058117836783,0.10727628364680304,0.9303135584650915
homog40,3,40,30,0.8342103660106659,0.953482382496198,-0.11927201648553212,0.5333333333333333,0.19094886978467304,0.8067507147789001,0.10048290518806029,0.165499407574441,0.6071496367312581
homog25,3,25,30,1.0891797651847204,1.0204102754592896,0.0687694897254308,0.3333333333333333,0.22983641251921655,0.7909730076789856,0.1310770240458927,0.2284581207511416,0.5737463987488294
mixed,4,25,10,0.8116688817739487,0.8698569655418396,-0.05818808376789093,0.8,0.22828174754977226,0.8896064758300781,0.16768937071598633,0.22405100763280494,0.7484428322268956
mixed,4,40,10,0.5531649380922318,0.8175649017095565,-0.2643999636173248,0.8,0.21534086540341377,0.8896064758300781,0.16270465183662874,0.15389747131229062,1.0572275843731473
